interactor A gene symbol	interactor B gene symbol	interactor A Uniprot AC	interactor B Uniprot AC
A2M	ENO2	P01023	P09104
ABCA1	IKBKG	O95477	Q9Y6K9
ABL1	BCL2L1	P00519	Q07817
ABL1	PRDX1	P00519	Q06830
ABL1	RB1	P00519	P06400
ABL1	TP53	P00519	P04637
ACAA1	PRDX1	P09110	Q06830
ACACA	BCL2	Q13085	P10415
ACACA	PRDX1	Q13085	Q06830
ACAT1	PRDX1	P24752	Q06830
ASIC1	TNFRSF10B	P78348	O14763
ACO2	CTNNB1	Q99798	P35222
ACO2	PRDX1	Q99798	Q06830
ACTA2	GSTP1	P62736	P09211
ACTN4	CTNNB1	O43707	P35222
ACVR1	TSC22D1	Q04771	Q15714
ACVR1B	TSC22D1	P36896	Q15714
ACVRL1	TGFB1	P37023	P01137
ACVRL1	TSC22D1	P37023	Q15714
ADH1B	PML	P00325	P29590
ADH5	PRDX1	P11766	Q06830
ADH6	KRAS	P28332	P01116
PARP1	BCL2	P09874	P10415
PARP1	SPP1	P09874	P10451
PARP1	TP53	P09874	P04637
PARP1	IKBKG	P09874	Q9Y6K9
ADRB2	PRDX1	P07550	Q06830
ADRB2	STAT3	P07550	P40763
ADSL	CTNNB1	P30566	P35222
AFP	XIAP	P02771	P98170
AFP	CCR5	P02771	P51681
AFP	GNB1	P02771	P62873
AFP	PSMB7	P02771	Q99436
AFP	MED27	P02771	Q6P2C8
AFP	AP4S1	P02771	Q9Y587
AFP	PHB2	P02771	Q99623
AFP	EHD4	P02771	Q9H223
AFP	PIDD1	P02771	Q9HB75
AGRP	TK1	O00253	P04183
AGTR1	JAK2	P30556	O60674
AGTR1	MAPK1	P30556	P28482
AHR	CTNNB1	P35869	P35222
AKT1	BCL2L1	P31749	Q07817
AKT1	CTNNB1	P31749	P35222
AKT1	ENO2	P31749	P09104
ALAS2	SUCLA2	P22557	Q9P2R7
ALAS2	BANP	P22557	Q8N9N5
ALB	APOA4	P02768	P06727
ALB	APOC2	P02768	P02655
ALB	TSC22D1	P02768	Q15714
ALB	BBC3	P02768	Q9BXH1
ALDOC	SQLE	P09972	Q14534
ALK	JAK2	Q9UM73	O60674
ALK	MAPK1	Q9UM73	P28482
ALK	STAT3	Q9UM73	P40763
ALK	SOCS1	Q9UM73	O15524
AMBP	STAT3	P02760	P40763
AMFR	CYP2E1	Q9UKV5	P05181
AMPD2	CCNDBP1	Q01433	O95273
ANG	TP53	P03950	P04637
ANXA1	TP53	P04083	P04637
ANXA3	TP53	P12429	P04637
ANXA5	GSTP1	P08758	P09211
ANXA7	TP53	P20073	P04637
APBB2	ATP7A	Q92870	Q04656
APBB2	TP53	Q92870	P04637
APC	CTNNB1	P25054	P35222
APC	TGFB1	P25054	P01137
APEX1	PML	P27695	P29590
APEX1	MAPK3	P27695	P27361
APEX1	STAT3	P27695	P40763
APEX1	H19	P27695	-
APEX1	MIR221	P27695	-
BIRC2	IKBKG	Q13490	Q9Y6K9
BIRC3	GLUL	Q13489	P15104
BIRC3	GSTP1	Q13489	P09211
BIRC3	MFGE8	Q13489	Q08431
BIRC3	PRDX1	Q13489	Q06830
BIRC3	TP53	Q13489	P04637
BIRC3	IKBKG	Q13489	Q9Y6K9
XIAP	BCL2	P98170	P10415
APOA1	CP	P02647	P00450
APOA1	SPP1	P02647	P10451
APOA4	MAGEA6	P06727	P43360
APOA4	AGTRAP	P06727	Q6RW13
APOA4	CMTM5	P06727	Q96DZ9
APOA4	CMTM4	P06727	Q8IZR5
APOC2	CRYAB	P02655	P02511
APOE	CTNNB1	P02649	P35222
APP	APOA4	P05067	P06727
APP	MYC	P05067	P01106
FAS	FAS	P25445	P25445
FAS	FASLG	P25445	P48023
FAS	ARF5	P25445	P84085
FAS	RHOA	P25445	P61586
FAS	ARHGDIA	P25445	P52565
FAS	BID	P25445	P55957
FAS	CASP8	P25445	Q14790
FAS	CASP10	P25445	Q92851
FAS	CRMP1	P25445	Q14194
FAS	CTNNB1	P25445	P35222
FAS	DAXX	P25445	Q9UER7
FAS	GADD45A	P25445	P24522
FAS	DPH1	P25445	Q9BZG8
FAS	EEF1A1	P25445	P68104
FAS	HNRNPC	P25445	P07910
FAS	HSPA5	P25445	P11021
FAS	MAP3K5	P25445	Q99683
FAS	MSN	P25445	P26038
FAS	PEX1	P25445	O43933
FAS	PIK3R1	P25445	P27986
FAS	PRKCA	P25445	P17252
FAS	MAPK8	P25445	P45983
FAS	PTPN13	P25445	Q12923
FAS	RB1	P25445	P06400
FAS	SRC	P25445	P12931
FAS	TNFRSF1A	P25445	P19438
FAS	TRAF3	P25445	Q13114
FAS	TUBB2A	P25445	Q13885
FAS	UBE2I	P25445	P63279
FAS	UGDH	P25445	O60701
FAS	EZR	P25445	P15311
FAS	WRB	P25445	-
FAS	YES1	P25445	P07947
FAS	TCAP	P25445	O15273
FAS	PEA15	P25445	Q15121
FAS	TRADD	P25445	Q15628
FAS	RIPK1	P25445	Q13546
FAS	FADD	P25445	Q13158
FAS	TNFRSF10B	P25445	O14763
FAS	CFLAR	P25445	O15519
FAS	MBD4	P25445	O95243
FAS	NOL3	P25445	O60936
FAS	CDYL	P25445	Q9Y232
FAS	EIF2AK3	P25445	Q9NZJ5
FAS	ATG5	P25445	Q9H1Y0
FAS	CHD1L	P25445	Q86WJ1
FAS	PDCD6	P25445	O75340
FAS	TUBB3	P25445	Q13509
FAS	TUBB4A	P25445	P04350
FAS	EHD1	P25445	Q9H4M9
FAS	FAF1	P25445	Q9UNN5
FAS	C14orf1	P25445	-
FAS	RHOBTB3	P25445	O94955
FAS	PDXDC1	P25445	Q6P996
FAS	GPD1L	P25445	Q8N335
FAS	MDN1	P25445	Q9NU22
FAS	FAF2	P25445	Q96CS3
FAS	MOCS3	P25445	O95396
FAS	ACAD9	P25445	Q9H845
FAS	UBQLN1	P25445	Q9UMX0
FAS	NDUFAF1	P25445	Q9Y375
FAS	GPN3	P25445	Q9UHW5
FAS	COX16	P25445	Q9P0S2
FAS	ECSIT	P25445	Q9BQ95
FAS	METTL13	P25445	-
FAS	MAP1S	P25445	Q66K74
FAS	UFSP2	P25445	Q9NUQ7
FAS	WDR11	P25445	Q9BZH6
FAS	LRIF1	P25445	Q5T3J3
FAS	INTS2	P25445	Q9H0H0
FAS	C17orf75	P25445	Q9HAS0
FAS	SPATA5L1	P25445	Q9BVQ7
FAS	FAM118B	P25445	Q9BPY3
FAS	RUFY1	P25445	Q96T51
FAS	DNAJC5	P25445	Q9H3Z4
FAS	TMX1	P25445	Q9H3N1
FAS	ABHD11	P25445	Q8NFV4
FAS	PRAM1	P25445	Q96QH2
FAS	FBF1	P25445	Q8TES7
FAS	C19orf52	P25445	-
FAS	SFXN5	P25445	Q8TD22
FAS	ALDH16A1	P25445	Q8IZ83
FAS	FAM91A1	P25445	Q658Y4
FAS	ALDH1L2	P25445	Q3SY69
FAS	SPATA5	P25445	Q8NB90
FAS	TUBB2B	P25445	Q9BVA1
FAS	CTU2	P25445	Q2VPK5
FASLG	TNFRSF10B	P48023	O14763
AQP3	TNF	Q92482	P01375
AQP6	CXCL9	Q13520	Q07325
AR	STAT3	P10275	P40763
AR	TP53	P10275	P04637
ARAF	HRAS	P10398	P01112
ARAF	KRAS	P10398	P01116
ARAF	MYC	P10398	P01106
ARAF	PRDX1	P10398	Q06830
ARAF	TP53	P10398	P04637
ARAF	RRAS2	P10398	P62070
RHOA	CDH1	P61586	P12830
RHOA	CTNNB1	P61586	P35222
RHOA	TNFRSF10B	P61586	O14763
ARHGDIA	TNFRSF10B	P52565	O14763
ARL3	TP53	P36405	P04637
ARNT	CTNNB1	P27540	P35222
ARNT	KRAS	P27540	P01116
ARNT	IKBKG	P27540	Q9Y6K9
ARRB2	MAPK1	P32121	P28482
ARRB2	MAPK3	P32121	P27361
ASAH1	TSC22D1	Q13510	Q15714
ASNS	MAPK3	P08243	P27361
ASS1	JAK2	P00966	O60674
ZFHX3	STAT3	Q15911	P40763
ATF3	TP53	P18847	P04637
ATM	TP53	Q13315	P04637
ATM	IKBKG	Q13315	Q9Y6K9
ATM	SOCS1	Q13315	O15524
ATOH1	MAPK3	Q92858	P27361
ATP2A3	BCL2	Q93084	P10415
ATP2B2	SQLE	Q01814	Q14534
ATP4B	CCNDBP1	P51164	O95273
ATP5A1	KDR	-	P35968
ATP6V1B1	CD63	P15313	P08962
ATP6V0B	FAS	Q99437	P25445
ATP7A	ATOX1	Q04656	O00244
ATP7A	CLU	Q04656	P10909
ATP7A	GLRX	Q04656	P35754
ATP7A	HNRNPD	Q04656	Q14103
ATP7A	COMMD1	Q04656	Q8N668
ATP7B	ATOX1	P35670	O00244
ATP7B	CLU	P35670	P10909
ATP7B	GLRX	P35670	P35754
ATP7B	HP	P35670	P00738
ATP7B	ZBTB16	P35670	Q05516
ATP7B	DCTN4	P35670	Q9UJW0
ATR	TP53	Q13535	P04637
ATR	SOCS1	Q13535	O15524
ATRX	TP53	P46100	P04637
AVPR2	MAPK3	P30518	P27361
AZU1	STAT3	P20160	P40763
B2M	PPAT	P61769	Q06203
BACH1	TP53	O14867	P04637
BAD	BCL2	Q92934	P10415
BAD	BCL2L1	Q92934	Q07817
BAG1	BCL2	Q99933	P10415
BAK1	ARHGDIA	Q16611	P52565
BAK1	BAK1	Q16611	Q16611
BAK1	BAX	Q16611	Q07812
BAK1	BCL2A1	Q16611	Q16548
BAK1	BCL2L1	Q16611	Q07817
BAK1	DBN1	Q16611	Q16643
BAK1	DFFA	Q16611	O00273
BAK1	FBL	Q16611	P22087
BAK1	HSD17B4	Q16611	P51659
BAK1	KRT31	Q16611	Q15323
BAK1	ND5	Q16611	-
BAK1	NFKBIB	Q16611	Q15653
BAK1	VDAC2	Q16611	P45880
BAK1	HERC1	Q16611	Q15751
BAK1	ACTR2	Q16611	P61160
BAK1	TOMM40	Q16611	O96008
BAK1	AKAP13	Q16611	Q12802
BAK1	MYCBP2	Q16611	O75592
BAK1	SRRM2	Q16611	Q9UQ35
BAK1	TOMM7	Q16611	Q9P0U1
BAK1	FRYL	Q16611	O94915
BARD1	BCL2	Q99728	P10415
BARD1	MAPK1	Q99728	P28482
BARD1	TP53	Q99728	P04637
BAX	PRDX1	Q07812	Q06830
CCND1	ALDH3A2	P24385	P51648
CCND1	SLC25A5	P24385	P05141
CCND1	AR	P24385	P10275
CCND1	ARF6	P24385	P62330
CCND1	ATP2B1	P24385	P20020
CCND1	CCND1	P24385	P24385
CCND1	BRCA2	P24385	P51587
CCND1	BTD	P24385	P43251
CCND1	CAD	P24385	P27708
CCND1	CCT6A	P24385	P40227
CCND1	CDK1	P24385	P06493
CCND1	CDC27	P24385	P30260
CCND1	CDH13	P24385	P55290
CCND1	CDK2	P24385	P24941
CCND1	CDK3	P24385	Q00526
CCND1	CDK5	P24385	Q00535
CCND1	CDK8	P24385	P49336
CCND1	CDKN1A	P24385	P38936
CCND1	CDKN2C	P24385	P42773
CCND1	CSE1L	P24385	P55060
CCND1	BRINP1	P24385	O60477
CCND1	DHCR7	P24385	Q9UBM7
CCND1	DYNC1H1	P24385	Q14204
CCND1	DNMT1	P24385	P26358
CCND1	EEF1A1	P24385	P68104
CCND1	ESR1	P24385	P03372
CCND1	FANCC	P24385	Q00597
CCND1	FANCD2	P24385	Q9BXW9
CCND1	FASN	P24385	P49327
CCND1	FLII	P24385	Q13045
CCND1	MSH6	P24385	P52701
CCND1	GTF3C1	P24385	Q12789
CCND1	HADHA	P24385	P40939
CCND1	DNAJA1	P24385	P31689
CCND1	HSPA1L	P24385	P34931
CCND1	HSPA2	P24385	P54652
CCND1	HSPA9	P24385	P38646
CCND1	HSP90AA1	P24385	P07900
CCND1	HSPD1	P24385	P10809
CCND1	IDH3A	P24385	P50213
CCND1	IGFBP3	P24385	P17936
CCND1	JUN	P24385	P05412
CCND1	JUND	P24385	P17535
CCND1	KRT8	P24385	P05787
CCND1	KRT18	P24385	P05783
CCND1	KRT19	P24385	P08727
CCND1	LMNA	P24385	P02545
CCND1	LMNB1	P24385	P20700
CCND1	LPL	P24385	P06858
CCND1	SMAD1	P24385	Q15797
CCND1	MCM2	P24385	P49736
CCND1	MCM3	P24385	P25205
CCND1	MCM6	P24385	Q14566
CCND1	MCM7	P24385	P33993
CCND1	MKI67	P24385	P46013
CCND1	NONO	P24385	Q15233
CCND1	NUMA1	P24385	Q14980
CCND1	ORC4	P24385	O43929
CCND1	PCBP1	P24385	Q15365
CCND1	PCBP2	P24385	Q15366
CCND1	PCNA	P24385	P12004
CCND1	PFKP	P24385	Q01813
CCND1	PPP2R1A	P24385	P30153
CCND1	PPP3R2	P24385	Q96LZ3
CCND1	PRPH	P24385	P41219
CCND1	KLK7	P24385	P49862
CCND1	PSMD7	P24385	P51665
CCND1	RAD51	P24385	Q06609
CCND1	RB1	P24385	P06400
CCND1	REV3L	P24385	O60673
CCND1	RFC1	P24385	P35251
CCND1	RFC2	P24385	P35250
CCND1	RFC4	P24385	P35249
CCND1	RFC5	P24385	P40937
CCND1	RNF2	P24385	Q99496
CCND1	ABCE1	P24385	P61221
CCND1	SKP1	P24385	P63208
CCND1	STAT3	P24385	P40763
CCND1	TAF1	P24385	P21675
CCND1	TCHH	P24385	Q07283
CCND1	THRB	P24385	P10828
CCND1	TK1	P24385	P04183
CCND1	TMPO	P24385	P42167
CCND1	TP73	P24385	O15350
CCND1	CCT3	P24385	P49368
CCND1	TSC2	P24385	P49815
CCND1	UBTF	P24385	P17480
CCND1	VIL1	P24385	P09327
CCND1	VIM	P24385	P08670
CCND1	XPO1	P24385	O14980
CCND1	MLF2	P24385	Q15773
CCND1	SYMPK	P24385	Q92797
CCND1	USP11	P24385	P51784
CCND1	CUL1	P24385	Q13616
CCND1	OGT	P24385	O15294
CCND1	CDC14B	P24385	O60729
CCND1	HDAC3	P24385	O15379
CCND1	SQSTM1	P24385	Q13501
CCND1	BTRC	P24385	Q9Y297
CCND1	RABEP1	P24385	Q15276
CCND1	GTF3C4	P24385	Q9UKN8
CCND1	SNRNP40	P24385	Q96DI7
CCND1	BAG2	P24385	O95816
CCND1	CEP57	P24385	Q86XR8
CCND1	KIAA0101	P24385	-
CCND1	KEAP1	P24385	Q14145
CCND1	CUL7	P24385	Q14999
CCND1	DNAJB6	P24385	O75190
CCND1	DNM1L	P24385	O00429
CCND1	SUGP2	P24385	Q8IX01
CCND1	TRIM28	P24385	Q13263
CCND1	DNAJA2	P24385	O60884
CCND1	IKZF1	P24385	Q13422
CCND1	CD2BP2	P24385	O95400
CCND1	MYBBP1A	P24385	Q9BQG0
CCND1	CCT7	P24385	Q99832
CCND1	CCT4	P24385	P50991
CCND1	CCT2	P24385	P78371
CCND1	AHSA1	P24385	O95433
CCND1	CCT8	P24385	P50990
CCND1	HSPH1	P24385	Q92598
CCND1	GCN1L1	P24385	-
CCND1	DDX52	P24385	Q9Y2R4
CCND1	WDR5	P24385	P61964
CCND1	IKZF3	P24385	Q9UKT9
CCND1	ZNF510	P24385	Q9Y2H8
CCND1	CCT5	P24385	P48643
CCND1	LIMCH1	P24385	Q9UPQ0
CCND1	MGA	P24385	Q8IWI9
CCND1	NCAPD3	P24385	P42695
CCND1	TDRD7	P24385	Q8NHU6
CCND1	ZNF324	P24385	O75467
CCND1	ATXN10	P24385	Q9UBB4
CCND1	PRDX5	P24385	P30044
CCND1	CHTOP	P24385	Q9Y3Y2
CCND1	PHGDH	P24385	O43175
CCND1	FBXO4	P24385	Q9UKT5
CCND1	FHOD1	P24385	Q9Y613
CCND1	C9orf156	P24385	-
CCND1	NOP58	P24385	Q9Y2X3
CCND1	BCAS3	P24385	Q9H6U6
CCND1	RIF1	P24385	Q5UIP0
CCND1	FANCI	P24385	Q9NVI1
CCND1	TBC1D2	P24385	Q9BYX2
CCND1	MCM10	P24385	Q7L590
CCND1	ITLN1	P24385	Q8WWA0
CCND1	CDK5RAP2	P24385	Q96SN8
CCND1	BAIAP2L1	P24385	Q9UHR4
CCND1	BBX	P24385	Q8WY36
CCND1	DDX24	P24385	Q9GZR7
CCND1	XPO5	P24385	Q9HAV4
CCND1	CAMSAP3	P24385	Q9P1Y5
CCND1	CCAR2	P24385	Q8N163
CCND1	ZBED5	P24385	Q49AG3
CCND1	ZNF106	P24385	Q9H2Y7
CCND1	RNF219	P24385	-
CCND1	L3MBTL2	P24385	Q969R5
CCND1	DTNBP1	P24385	Q96EV8
CCND1	ARID5B	P24385	Q14865
CCND1	POLR1B	P24385	Q9H9Y6
CCND1	TUBB6	P24385	Q9BUF5
CCND1	DPY30	P24385	Q9C005
CCND1	LMNB2	P24385	Q03252
CCND1	TSR3	P24385	Q9UJK0
CCND1	HDX	P24385	Q7Z353
CCND1	E2F7	P24385	Q96AV8
CCND1	KRT80	P24385	Q6KB66
CCND1	TSTD2	P24385	Q5T7W7
CCND1	KLK9	P24385	Q9UKQ9
BCL2	BAK1	P10415	Q16611
BCL2	BAX	P10415	Q07812
BCL2	BCL2	P10415	P10415
BCL2	BID	P10415	P55957
BCL2	BIK	P10415	Q13323
BCL2	BNIP3	P10415	Q12983
BCL2	BNIP3L	P10415	O60238
BCL2	BRCA1	P10415	P38398
BCL2	CASP8	P10415	Q14790
BCL2	CDK1	P10415	P06493
BCL2	CDK4	P10415	P11802
BCL2	CHUK	P10415	O15111
BCL2	HIF1A	P10415	Q16665
BCL2	HNRNPD	P10415	Q14103
BCL2	HSP90AA1	P10415	P07900
BCL2	IKBKB	P10415	O14920
BCL2	IRS1	P10415	P35568
BCL2	ITPR1	P10415	Q14643
BCL2	ITPR3	P10415	Q14573
BCL2	KRAS	P10415	P01116
BCL2	MAT2A	P10415	P31153
BCL2	MDM4	P10415	O15151
BCL2	MYC	P10415	P01106
BCL2	SERPINB8	P10415	P50452
BCL2	PIN1	P10415	Q13526
BCL2	PMAIP1	P10415	Q13794
BCL2	PPID	P10415	Q08752
BCL2	PPP2R5A	P10415	Q15172
BCL2	PPP3CA	P10415	Q08209
BCL2	PPP3CC	P10415	P48454
BCL2	PSEN2	P10415	P49810
BCL2	RAD9A	P10415	Q99638
BCL2	RRAS	P10415	P10301
BCL2	SOD1	P10415	P00441
BCL2	UBE2I	P10415	P63279
BCL2	VDAC1	P10415	P21796
BCL2	DYNLL1	P10415	P63167
BCL2	IRS2	P10415	Q9Y4H2
BCL2	BECN1	P10415	Q14457
BCL2	HRK	P10415	O00198
BCL2	SQSTM1	P10415	Q13501
BCL2	RTN3	P10415	O95197
BCL2	FKBP8	P10415	Q14318
BCL2	ITLN1	P10415	Q8WWA0
BCL2	AMBRA1	P10415	Q9C0C7
BCL2	SPHK2	P10415	Q9NRA0
BCL2	MEX3D	P10415	Q86XN8
BCL2A1	BBC3	Q16548	Q9BXH1
BCL2L1	ACTB	Q07817	P60709
BCL2L1	APAF1	Q07817	O14727
BCL2L1	BAX	Q07817	Q07812
BCL2L1	BCL2	Q07817	P10415
BCL2L1	BCL2L1	Q07817	Q07817
BCL2L1	BCL2L2	Q07817	Q92843
BCL2L1	BID	Q07817	P55957
BCL2L1	BIK	Q07817	Q13323
BCL2L1	BNIP3	Q07817	Q12983
BCL2L1	BNIP3L	Q07817	O60238
BCL2L1	CAD	Q07817	P27708
BCL2L1	CALM1	Q07817	P0DP23
BCL2L1	CAPZB	Q07817	P47756
BCL2L1	CASP1	Q07817	P29466
BCL2L1	CASP9	Q07817	P55211
BCL2L1	CDK2	Q07817	P24941
BCL2L1	CKM	Q07817	P06732
BCL2L1	AP2M1	Q07817	Q96CW1
BCL2L1	CLU	Q07817	P10909
BCL2L1	CTNNB1	Q07817	P35222
BCL2L1	EEF1A1	Q07817	P68104
BCL2L1	EPHB2	Q07817	P29323
BCL2L1	FABP5	Q07817	Q01469
BCL2L1	FBP1	Q07817	P09467
BCL2L1	MTOR	Q07817	P42345
BCL2L1	GAPDH	Q07817	P04406
BCL2L1	GNAI1	Q07817	P63096
BCL2L1	GNAS	Q07817	Q5JWF2
BCL2L1	GSTP1	Q07817	P09211
BCL2L1	HIST1H1E	Q07817	-
BCL2L1	HNRNPU	Q07817	Q00839
BCL2L1	HSPB1	Q07817	P04792
BCL2L1	HSPD1	Q07817	P10809
BCL2L1	JUP	Q07817	P14923
BCL2L1	KRAS	Q07817	P01116
BCL2L1	ABLIM1	Q07817	O14639
BCL2L1	MST1R	Q07817	Q04912
BCL2L1	MYH10	Q07817	P35580
BCL2L1	MYO1C	Q07817	O00159
BCL2L1	MYO5B	Q07817	Q9ULV0
BCL2L1	PARK2	Q07817	-
BCL2L1	PCBP1	Q07817	Q15365
BCL2L1	PMAIP1	Q07817	Q13794
BCL2L1	PPP1CA	Q07817	P62136
BCL2L1	PRKAA1	Q07817	Q13131
BCL2L1	PRKDC	Q07817	P78527
BCL2L1	PSMD11	Q07817	O00231
BCL2L1	PTN	Q07817	P21246
BCL2L1	RAB1A	Q07817	P62820
BCL2L1	RAD9A	Q07817	Q99638
BCL2L1	RANBP2	Q07817	P49792
BCL2L1	BRD2	Q07817	P25440
BCL2L1	RPL8	Q07817	P62917
BCL2L1	RPL12	Q07817	P30050
BCL2L1	RPS3	Q07817	P23396
BCL2L1	RPS15A	Q07817	P62244
BCL2L1	RPS26	Q07817	P62854
BCL2L1	RTN1	Q07817	Q16799
BCL2L1	SPTAN1	Q07817	Q13813
BCL2L1	SPTBN1	Q07817	Q01082
BCL2L1	SVIL	Q07817	O95425
BCL2L1	TLE1	Q07817	Q04724
BCL2L1	TOP1	Q07817	P11387
BCL2L1	TP53	Q07817	P04637
BCL2L1	TP53BP2	Q07817	Q13625
BCL2L1	TPT1	Q07817	P13693
BCL2L1	TUBA4A	Q07817	P68366
BCL2L1	TYK2	Q07817	P29597
BCL2L1	VDAC1	Q07817	P21796
BCL2L1	VDAC2	Q07817	P45880
BCL2L1	YWHAH	Q07817	Q04917
BCL2L1	DYNLL1	Q07817	P63167
BCL2L1	BECN1	Q07817	Q14457
BCL2L1	HRK	Q07817	O00198
BCL2L1	SLC16A5	Q07817	O15375
BCL2L1	HGS	Q07817	O14964
BCL2L1	ATG5	Q07817	Q9H1Y0
BCL2L1	PDIA4	Q07817	P13667
BCL2L1	HDAC4	Q07817	P56524
BCL2L1	CASP8AP2	Q07817	Q9UKL3
BCL2L1	ACTR2	Q07817	P61160
BCL2L1	RBM5	Q07817	P52756
BCL2L1	FLOT1	Q07817	O75955
BCL2L1	CCT7	Q07817	Q99832
BCL2L1	IGF2BP3	Q07817	O00425
BCL2L1	YWHAQ	Q07817	P27348
BCL2L1	WWP1	Q07817	Q9H0M0
BCL2L1	ZHX1	Q07817	Q9UKY1
BCL2L1	PDS5A	Q07817	Q29RF7
BCL2L1	LARP1	Q07817	Q6PKG0
BCL2L1	PLD3	Q07817	Q8IV08
BCL2L1	FKBP8	Q07817	Q14318
BCL2L1	EDRF1	Q07817	Q3B7T1
BCL2L1	PHGDH	Q07817	O43175
BCL2L1	TMOD3	Q07817	Q9NYL9
BCL2L1	GLOD4	Q07817	Q9HC38
BCL2L1	ZNF219	Q07817	Q9P2Y4
BCL2L1	PPHLN1	Q07817	Q8NEY8
BCL2L1	ZFYVE1	Q07817	Q9HBF4
BCL2L1	MIEF1	Q07817	Q9NQG6
BCL2L1	VAC14	Q07817	Q08AM6
BCL2L1	AVEN	Q07817	Q9NQS1
BCL2L1	RTN4	Q07817	Q9NQC3
BCL2L1	PINK1	Q07817	Q9BXM7
BCL2L1	DOT1L	Q07817	Q8TEK3
BCL2L1	DOCK7	Q07817	Q96N67
BCL2L1	BMF	Q07817	Q96LC9
BCL2L1	METTL23	Q07817	Q86XA0
BCL2L1	UBR1	Q07817	Q8IWV7
BCL2L1	TUBB	Q07817	P07437
BCL2L1	C10orf67	Q07817	Q8IYJ2
BCL2L1	C6orf222	Q07817	-
BCL2L1	BLID	Q07817	Q8IZY5
BCL2L2	APOC2	Q92843	P02655
BCL2L2	BAK1	Q92843	Q16611
BCL2L2	TP53	Q92843	P04637
BCL2L2	BBC3	Q92843	Q9BXH1
BCL3	CTNNB1	P20749	P35222
BCL3	STAT3	P20749	P40763
BCL6	FOXM1	P41182	Q08050
BCL6	PML	P41182	P29590
BCL9	CTNNB1	O00512	P35222
BCR	RB1	P11274	P06400
BCR	TP53	P11274	P04637
BICD1	STAT3	Q96G01	P40763
BICD1	TP53	Q96G01	P04637
BID	BAK1	P55957	Q16611
BID	TNFRSF10B	P55957	O14763
BLK	BCL2	P51451	P10415
BLK	BCL2L1	P51451	Q07817
BLK	STAT3	P51451	P40763
BLM	MYC	P54132	P01106
BMI1	TP53	P35226	P04637
BMP7	PML	P18075	P29590
BMPR1A	CTNNB1	P36894	P35222
BMPR1A	HRAS	P36894	P01112
BMPR1A	TGFB1	P36894	P01137
BMPR1A	TSC22D1	P36894	Q15714
BMPR1B	TSC22D1	O00238	Q15714
BMX	STAT3	P51813	P40763
BNIP1	BCL2	Q12981	P10415
BNIP1	BCL2L1	Q12981	Q07817
BNIP2	BCL2	Q12982	P10415
BRCA1	CCND1	P38398	P24385
BRCA1	CDH1	P38398	P12830
BRCA1	CTNNB1	P38398	P35222
BRCA1	JAK2	P38398	O60674
BRCA1	MYC	P38398	P01106
BRCA1	PRDX1	P38398	Q06830
BRCA1	PML	P38398	P29590
BRCA1	MAPK1	P38398	P28482
BRCA1	MAPK3	P38398	P27361
BRCA1	RB1	P38398	P06400
BRCA1	TP53	P38398	P04637
BRAF	KRAS	P15056	P01116
BRAF	MAPK1	P15056	P28482
BRCA2	TP53	P51587	P04637
ZFP36L2	PRDX1	P47974	Q06830
KLF9	TP53	Q13886	P04637
KLF5	CTNNB1	Q13887	P35222
KLF5	TP53	Q13887	P04637
BUB1	HRAS	O43683	P01112
BUB1	MAPK3	O43683	P27361
BUB1	TGFB1	O43683	P01137
C3AR1	ATP7A	Q16581	Q04656
C3AR1	STAT3	Q16581	P40763
TMEM50B	BCL2L1	P56557	Q07817
CA9	CDH1	Q16790	P12830
CA9	CTNNB1	Q16790	P35222
CACNA1A	TSC22D1	O00555	Q15714
DDR1	CDH1	Q08345	P12830
DDR1	TK1	Q08345	P04183
CALM1	KRAS	P0DP23	P01116
CALM1	PRDX1	P0DP23	Q06830
CAPN1	STAT3	P07384	P40763
CAPN2	BCL2	P17655	P10415
CAPN3	MMP2	P20807	P08253
CAPNS1	STAT3	P04632	P40763
CASP2	BCL2	P42575	P10415
CASP2	BCL2L1	P42575	Q07817
CASP3	BCL2	P42574	P10415
CASP3	CDH1	P42574	P12830
CASP3	CTNNB1	P42574	P35222
CASP3	MET	P42574	P08581
CASP3	RB1	P42574	P06400
CASP6	RB1	P55212	P06400
CASP6	IKBKG	P55212	Q9Y6K9
CASP7	RB1	P55210	P06400
CASP8	BCL2L1	Q14790	Q07817
CASP8	MAPK1	Q14790	P28482
CASP8	RB1	Q14790	P06400
CASP8	TP53	Q14790	P04637
CASP8	TNFRSF10B	Q14790	O14763
CASP9	RB1	P55211	P06400
CASP10	RB1	Q92851	P06400
CASP10	TNFRSF10B	Q92851	O14763
CAT	PRDX1	P04040	Q06830
CAV1	FAS	Q03135	P25445
CAV1	CTNNB1	Q03135	P35222
CAV1	MAPK1	Q03135	P28482
CAV1	MAPK3	Q03135	P27361
RUNX2	RB1	Q13950	P06400
RUNX1	PML	Q01196	P29590
CBFB	PML	Q13951	P29590
CBL	JAK2	P22681	O60674
CBL	KDR	P22681	P35968
CBL	MET	P22681	P08581
CBL	TEK	P22681	Q02763
CBLB	TP53	Q13191	P04637
CBLB	TNFRSF10B	Q13191	O14763
SERPINH1	TP53	P50454	P04637
KRIT1	FAS	O00522	P25445
CCNA2	RB1	P20248	P06400
CCNA2	TP53	P20248	P04637
CCNB1	FOXM1	P14635	Q08050
CCNB1	PRDX1	P14635	Q06830
